Date,Open,High,Low,Close,Adj Close,Volume
11/1/2002,27.219999,27.559999,24.82,26.889999,26.889999,1620891
12/1/2002,26.82,33.650002,26.57,31.200001,31.200001,1712138
1/1/2003,31.549999,35.200001,29.75,33.509998,33.509998,1943096
2/1/2003,33.330002,39.990002,32.650002,36.599998,36.599998,1766013
3/1/2003,35.849998,37.950001,26.299999,31.040001,31.040001,1693911
4/1/2003,30.4,31.5,25.040001,25.799999,25.799999,1516421
5/1/2003,26,29.65,25.23,29.559999,29.559999,1669673
6/1/2003,29.49,32.5,28.530001,30.190001,30.190001,1584286
7/1/2003,30.120001,32.049999,29.17,30.540001,30.540001,1606181
8/1/2003,30.799999,32.849998,30.1,31.57,31.57,1784765
9/1/2003,31.280001,31.4,26.65,29.200001,29.200001,1683600
10/1/2003,29.049999,32.599998,28.26,29.110001,29.110001,1779100
11/1/2003,29.23,33.549999,28.469999,30.41,30.41,1632868
12/1/2003,30.26,33.93,29.66,32.52,32.52,1599008
1/1/2004,32.400002,36.369999,32.27,33.049999,33.049999,1903087
2/1/2004,33.200001,36.25,32.200001,36.16,36.16,1697053
3/1/2004,36.16,38.5,34.75,35.759998,35.759998,2041599
4/1/2004,35.82,38.299999,33.299999,37.380001,37.380001,2019727
5/1/2004,37.389999,41.849998,37.25,39.880001,39.880001,1949567
6/1/2004,40.400002,42.450001,35.52,37.049999,37.049999,2004205
7/1/2004,37.049999,43.849998,36.689999,43.799999,43.799999,1820316
8/1/2004,43.689999,49.400002,41.299999,42.119999,42.119999,2289972
9/1/2004,42.110001,50.470001,42.110001,49.639999,49.639999,2097767
10/1/2004,49.639999,55.669998,49.200001,51.759998,51.759998,2157611
11/1/2004,51.82,52.5,45.25,49.130001,49.130001,1920477
12/1/2004,49.07,49.119999,40.25,43.450001,43.450001,1899663
1/1/2005,43.099998,49.75,41.25,48.200001,48.200001,1968166
2/1/2005,48.209999,52.279999,44.599998,51.75,51.75,1686561
3/1/2005,51.77,57.599998,50.650002,55.400002,55.400002,2181030
4/1/2005,55.200001,58.279999,49.5,49.720001,49.720001,2196698
5/1/2005,49.279999,53.099998,46.200001,51.970001,51.970001,2130537
6/1/2005,51.950001,60.950001,51.93,56.5,56.5,2242541
7/1/2005,56.599998,62.099998,56.099998,60.57,60.57,2135377
8/1/2005,60.509998,70.849998,60.509998,68.940002,68.940002,2488887
9/1/2005,68.699997,69.660004,62.549999,66.239998,66.239998,2269251
10/1/2005,66.199997,66.620003,59.150002,59.759998,59.759998,2023131
11/1/2005,59.759998,62.150002,55.400002,57.32,57.32,1971974
12/1/2005,57.43,61.900002,56.900002,61.040001,61.040001,1891467
1/1/2006,61.040001,69.199997,60.810001,67.919998,67.919998,2257664
2/1/2006,67.730003,69,57.5,61.41,61.41,2326517
3/1/2006,61.580002,67.300003,59.25,66.629997,66.629997,2386391
4/1/2006,66.25,75.349998,65.599998,71.879997,71.879997,2170291
5/1/2006,71.75,74.989998,67.419998,71.290001,71.290001,2533163
6/1/2006,71.260002,74.150002,68.099998,73.980003,73.980003,2237163
7/1/2006,73.949997,78.400002,71.650002,74.400002,74.400002,1871824
8/1/2006,74.400002,77.449997,68.650002,70.260002,70.260002,2089659
9/1/2006,70.349998,70.400002,59.52,62.91,62.91,2605508
10/1/2006,62.799999,63.32,56.549999,58.73,58.73,3473023
11/1/2006,58.599998,63.799999,54.860001,63.130001,63.130001,3672965
12/1/2006,62.849998,64.150002,59.900002,61.049999,61.049999,3343134
1/1/2007,60.98,61.549999,49.900002,58.139999,58.139999,5193859
2/1/2007,57.889999,62.25,56.619999,61.790001,61.790001,5154484
3/1/2007,61.82,68.089996,56.099998,65.870003,65.870003,4948480
4/1/2007,65.699997,66.699997,61.34,65.709999,65.709999,4252646
5/1/2007,65.660004,66.379997,60.68,64.010002,64.010002,4884743
6/1/2007,64.230003,71.059998,63.799999,70.68,70.68,4625026
7/1/2007,70.519997,78.279999,69.57,78.209999,78.209999,4601264
8/1/2007,77.940002,78.769997,68.629997,74.040001,74.040001,5184742
9/1/2007,73.900002,83.900002,73.480003,81.660004,81.660004,5103484
10/1/2007,81.75,95.279999,78.349998,94.529999,94.529999,6263924
11/1/2007,95.150002,99.290001,88.449997,88.709999,88.709999,6632640
12/1/2007,88.790001,97.919998,85.82,95.980003,95.980003,4496780
1/1/2008,96.050003,100.089996,86.110001,91.75,91.75,5744195
2/1/2008,91.360001,103.050003,86.239998,101.839996,101.839996,5352385
3/1/2008,101.629997,111.800003,98.650002,101.580002,101.580002,6349475
4/1/2008,101.57,119.93,99.550003,113.459999,113.459999,5854686
5/1/2008,114.599998,135.089996,110.300003,127.349998,127.349998,7054428
6/1/2008,127.629997,143.669998,121.610001,140,140,6474258
7/1/2008,140.179993,147.270004,120.419998,124.080002,124.080002,6083909
8/1/2008,124.059998,128.600006,111.339996,115.459999,115.459999,5692611
9/1/2008,116.650002,130,90.510002,100.639999,100.639999,5950416
10/1/2008,101.860001,102.839996,61.299999,67.809998,67.809998,5903035
11/1/2008,67.370003,71.769997,48.25,54.43,54.43,4752064
12/1/2008,54.619999,54.619999,32.400002,44.599998,44.599998,4640198
1/1/2009,43.720001,50.470001,32.700001,41.68,41.68,5452571
2/1/2009,42.220001,45.299999,33.549999,44.759998,44.759998,5075519
3/1/2009,44.34,54.66,39.439999,49.66,49.66,5322078
4/1/2009,48.959999,53.900002,43.830002,51.119999,51.119999,4954274
5/1/2009,50.950001,66.639999,50.43,66.309998,66.309998,5254102
6/1/2009,66.480003,73.379997,64.949997,69.889999,69.889999,5843371
7/1/2009,70.449997,71.849998,58.32,69.449997,69.449997,6155493
8/1/2009,69.300003,75,65.230003,69.959999,69.959999,5930812
9/1/2009,69.559998,73.160004,65.050003,70.610001,70.610001,5938598
10/1/2009,70.400002,82,68.050003,77,77,7286480
11/1/2009,77.019997,81.059998,72.389999,77.279999,77.279999,6674756
12/1/2009,77.349998,80,68.589996,79.360001,79.360001,5820203
1/1/2010,79.629997,83.949997,72.43,72.889999,72.889999,5645255
2/1/2010,72.839996,80.510002,69.5,79.660004,79.660004,6769263
3/1/2010,79.839996,83.849998,78.059998,83.760002,83.760002,6836560
4/1/2010,83.360001,87.089996,80.529999,86.150002,86.150002,7622339
5/1/2010,86.199997,87.150002,64.239998,73.970001,73.970001,8409610
6/1/2010,73.970001,79.379997,69.510002,75.629997,75.629997,7515626
7/1/2010,75.370003,79.690002,71.089996,78.949997,78.949997,6459054
8/1/2010,78.949997,82.970001,70.760002,71.919998,71.919998,7019320
9/1/2010,71.699997,80.18,71.669998,79.970001,79.970001,7092675
10/1/2010,79.839996,84.43,79.349998,81.43,81.43,6834324
11/1/2010,81.449997,88.629997,80.059998,84.110001,84.110001,7047186
12/1/2010,83.660004,92.059998,83.629997,91.379997,91.379997,5666635
1/1/2011,91.309998,92.839996,85.110001,92.190002,92.190002,7342599
2/1/2011,92.199997,103.410004,83.849998,96.970001,96.970001,6702855
3/1/2011,96.970001,106.949997,96.220001,106.720001,106.720001,7142807
4/1/2011,106.620003,114.18,105.309998,113.93,113.93,5906063
5/1/2011,113.889999,114.830002,94.629997,102.699997,102.699997,7956821
6/1/2011,102.68,103.309998,89.610001,95.419998,95.419998,7612897
7/1/2011,95.120003,100.620003,93.449997,95.699997,95.699997,5712768
