Date,Open,High,Low,Close,Adj Close,Volume
11/1/2002,318.799988,324.5,316.5,316.799988,316.799988,54551
12/1/2002,318.100006,350.5,315.5,347.600006,347.600006,4453
1/1/2003,346.100006,372,345.200012,368.299988,368.299988,8298
2/1/2003,368,388.899994,342,350.200012,350.200012,6928
3/1/2003,349.200012,356.799988,326,335.899994,335.899994,6100
4/1/2003,336,338.399994,319.299988,339.100006,339.100006,3097
5/1/2003,339,370,339,364.5,364.5,164025
6/1/2003,360,370,343.399994,346,346,10422
7/1/2003,351.399994,364.799988,342.100006,354,354,86330
8/1/2003,354.100006,375,346,375.700012,375.700012,5743
9/1/2003,375,388.700012,372.899994,385.399994,385.399994,16207
10/1/2003,385.5,394,368,384.5,384.5,3594
11/1/2003,382.799988,402,377,396.799988,396.799988,165003
12/1/2003,397.200012,417.200012,397,415.700012,415.700012,10267
1/1/2004,415.700012,428.200012,396.5,402.200012,402.200012,132663
2/1/2004,403,416,394,396.399994,396.399994,5931
3/1/2004,396.399994,428,391.100006,427.299988,427.299988,105746
4/1/2004,427.200012,432,380,387,387,6579
5/1/2004,387,396.299988,375.799988,394,394,144835
6/1/2004,393.899994,405,383,392.600006,392.600006,6207
7/1/2004,396,408.100006,385,391,391,116575
8/1/2004,394,412.799988,388.799988,410.399994,410.399994,6340
9/1/2004,407.299988,418.799988,396.799988,418.700012,418.700012,16144
10/1/2004,419.100006,430,410.299988,428.5,428.5,2646
11/1/2004,427.299988,454.799988,424.600006,451.299988,451.299988,183608
12/1/2004,451.600006,456.5,432.600006,437.5,437.5,12728
1/1/2005,431,431,418.700012,421.799988,421.799988,115342
2/1/2005,422.200012,436,410.100006,436.5,436.5,8468
3/1/2005,435,446.399994,424.700012,428.700012,428.700012,3171
4/1/2005,428.299988,438.200012,422.700012,435,435,2579
5/1/2005,429.5,429.799988,413.200012,416.299988,416.299988,131509
6/1/2005,416.399994,442.5,414,435.899994,435.899994,6950
7/1/2005,427.799988,430.5,419.600006,429.899994,429.899994,44574
8/1/2005,430,449.5,429.100006,433.799988,433.799988,3085
9/1/2005,438.5,474,438.5,469,469,11805
10/1/2005,467.799988,478.5,460.5,465.100006,465.100006,2106
11/1/2005,463,502.299988,455.299988,494.600006,494.600006,157642
12/1/2005,494.200012,538.5,490.100006,517.099976,517.099976,12240
1/1/2006,518.599976,572.700012,518.599976,570.799988,570.799988,121984
2/1/2006,570.799988,575.299988,535.5,561.599976,561.599976,10165
3/1/2006,562.5,589.599976,539.900024,581.799988,581.799988,94801
4/1/2006,582,651.799988,582,651.799988,651.799988,8121
5/1/2006,658,723,637,642.5,642.5,137161
6/1/2006,642.799988,645.099976,555,613.5,613.5,6197
7/1/2006,631,677,612.700012,634.200012,634.200012,99344
8/1/2006,635.400024,656,609,625.900024,625.900024,4608
9/1/2006,624.400024,638.5,576.400024,598.599976,598.599976,17592
10/1/2006,598.900024,608.900024,560.5,604.099976,604.099976,6239
11/1/2006,612.5,648,612.5,646.900024,646.900024,114115
12/1/2006,645.700012,649.700012,612,635.200012,635.200012,3823
1/1/2007,635.200012,655.5,607,652,652,101525
2/1/2007,652.900024,687.700012,642,669.400024,669.400024,3981
3/1/2007,673,673,640,663,663,52996
4/1/2007,665.5,692.5,656.099976,680.5,680.5,4436
5/1/2007,673.700012,688,651,661,661,158741
6/1/2007,661.5,674,640,648.099976,648.099976,4027
7/1/2007,656.799988,684.200012,648.400024,666.900024,666.900024,138110
8/1/2007,663.200012,676.200012,642.900024,673,673,8547
9/1/2007,672.5,745.700012,672.5,742.799988,742.799988,27393
10/1/2007,745.099976,795.400024,724.299988,792,792,2720
11/1/2007,785.299988,841.299988,777.599976,782.200012,782.200012,239351
12/1/2007,783.900024,843.200012,777,834.900024,834.900024,7681
1/1/2008,848.700012,936.299988,846.400024,922.700012,922.700012,231851
2/1/2008,924.799988,973.099976,884.700012,972.099976,972.099976,8233
3/1/2008,984.200012,1014.599976,912,916.200012,916.200012,216432
4/1/2008,915,948.700012,863,862.799988,862.799988,13006
5/1/2008,855,925.599976,849.599976,887.299988,887.299988,221797
6/1/2008,887.299988,933.700012,858.200012,926.200012,926.200012,9462
7/1/2008,943.599976,986.200012,893.299988,913.900024,913.900024,250610
8/1/2008,904.900024,916.099976,780.900024,829.299988,829.299988,9253
9/1/2008,829.900024,919,739,874.200012,874.200012,18800
10/1/2008,878,925.700012,681,716.799988,716.799988,3365
11/1/2008,728.799988,824,707,816.200012,816.200012,377779
